Epoch [1/2], Step: [346/781], Avg time for each step 0.0449s
Epoch [1/2], Step: [347/781], Avg time for each step 0.0410s
Epoch [1/2], Step: [348/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [349/781], Avg time for each step 0.0420s
Epoch [1/2], Step: [350/781], Avg time for each step 0.0460s
Epoch [1/2], Step: [351/781], Avg time for each step 0.0410s
Epoch [1/2], Step: [352/781], Avg time for each step 0.0480s
Epoch [1/2], Step: [353/781], Avg time for each step 0.0490s
Epoch [1/2], Step: [354/781], Avg time for each step 0.0390s
Epoch [1/2], Step: [355/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [356/781], Avg time for each step 0.0412s
Epoch [1/2], Step: [357/781], Avg time for each step 0.0470s
Epoch [1/2], Step: [358/781], Avg time for each step 0.0410s
Epoch [1/2], Step: [359/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [360/781], Avg time for each step 0.0500s
Epoch [1/2], Step: [361/781], Avg time for each step 0.0390s
Epoch [1/2], Step: [362/781], Avg time for each step 0.0470s
Epoch [1/2], Step: [363/781], Avg time for each step 0.0400s
Epoch [1/2], Step: [364/781], Avg time for each step 0.0470s
Epoch [1/2], Step: [365/781], Avg time for each step 0.0400s
Epoch [1/2], Step: [366/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [367/781], Avg time for each step 0.0410s
Epoch [1/2], Step: [368/781], Avg time for each step 0.0460s
Epoch [1/2], Step: [369/781], Avg time for each step 0.0502s
Epoch [1/2], Step: [370/781], Avg time for each step 0.0390s
Epoch [1/2], Step: [371/781], Avg time for each step 0.0482s
Epoch [1/2], Step: [372/781], Avg time for each step 0.0390s
Epoch [1/2], Step: [373/781], Avg time for each step 0.0470s
Epoch [1/2], Step: [374/781], Avg time for each step 0.0400s
Epoch [1/2], Step: [375/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [376/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [377/781], Avg time for each step 0.0420s
Epoch [1/2], Step: [378/781], Avg time for each step 0.0490s
Epoch [1/2], Step: [379/781], Avg time for each step 0.0390s
Epoch [1/2], Step: [380/781], Avg time for each step 0.0470s
Epoch [1/2], Step: [381/781], Avg time for each step 0.0400s
Epoch [1/2], Step: [382/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [383/781], Avg time for each step 0.0410s
Epoch [1/2], Step: [384/781], Avg time for each step 0.0470s
Epoch [1/2], Step: [385/781], Avg time for each step 0.0400s
Epoch [1/2], Step: [386/781], Avg time for each step 0.0460s
Epoch [1/2], Step: [387/781], Avg time for each step 0.0500s
Epoch [1/2], Step: [388/781], Avg time for each step 0.0380s
Epoch [1/2], Step: [389/781], Avg time for each step 0.0460s
Epoch [1/2], Step: [390/781], Avg time for each step 0.0410s
Epoch [1/2], Step: [391/781], Avg time for each step 0.0467s
Epoch [1/2], Step: [392/781], Avg time for each step 0.0420s
Epoch [1/2], Step: [393/781], Avg time for each step 0.0410s
Epoch [1/2], Step: [394/781], Avg time for each step 0.0490s
Epoch [1/2], Step: [395/781], Avg time for each step 0.0390s
Epoch [1/2], Step: [396/781], Avg time for each step 0.0470s
Epoch [1/2], Step: [397/781], Avg time for each step 0.0397s
Epoch [1/2], Step: [398/781], Avg time for each step 0.0460s
Epoch [1/2], Step: [399/781], Avg time for each step 0.0400s
Epoch [1/2], Step: [400/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [401/781], Avg time for each step 0.0430s
Epoch [1/2], Step: [402/781], Avg time for each step 0.0430s
Epoch [1/2], Step: [403/781], Avg time for each step 0.0470s
Epoch [1/2], Step: [404/781], Avg time for each step 0.0400s
Epoch [1/2], Step: [405/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [406/781], Avg time for each step 0.0410s
Epoch [1/2], Step: [407/781], Avg time for each step 0.0420s
Epoch [1/2], Step: [408/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [409/781], Avg time for each step 0.0470s
Epoch [1/2], Step: [410/781], Avg time for each step 0.0400s
Epoch [1/2], Step: [411/781], Avg time for each step 0.0480s
Epoch [1/2], Step: [412/781], Avg time for each step 0.0400s
Epoch [1/2], Step: [413/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [414/781], Avg time for each step 0.0430s
Epoch [1/2], Step: [415/781], Avg time for each step 0.0430s
Epoch [1/2], Step: [416/781], Avg time for each step 0.0480s
Epoch [1/2], Step: [417/781], Avg time for each step 0.0390s
Epoch [1/2], Step: [418/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [419/781], Avg time for each step 0.0410s
Epoch [1/2], Step: [420/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [421/781], Avg time for each step 0.0410s
Epoch [1/2], Step: [422/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [423/781], Avg time for each step 0.0420s
Epoch [1/2], Step: [424/781], Avg time for each step 0.0470s
Epoch [1/2], Step: [425/781], Avg time for each step 0.0480s
Epoch [1/2], Step: [426/781], Avg time for each step 0.0370s
Epoch [1/2], Step: [427/781], Avg time for each step 0.0510s
Epoch [1/2], Step: [428/781], Avg time for each step 0.0380s
Epoch [1/2], Step: [429/781], Avg time for each step 0.0468s
Epoch [1/2], Step: [430/781], Avg time for each step 0.0500s
Epoch [1/2], Step: [431/781], Avg time for each step 0.0380s
Epoch [1/2], Step: [432/781], Avg time for each step 0.0470s
Epoch [1/2], Step: [433/781], Avg time for each step 0.0400s
Epoch [1/2], Step: [434/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [435/781], Avg time for each step 0.0410s
Epoch [1/2], Step: [436/781], Avg time for each step 0.0450s
